Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC,training_time
InceptionV3,softmax,6,0.7670753064798599,0.8014179941216009,0.7654983185836446,0.924350397170186,0.7514160661174483,0.9587929791692773,3054.5287430286407
InceptionV3,softmax,7,0.7933450087565674,0.8257143517913891,0.8041163604794336,0.9309957341581198,0.799037132092233,0.9645948618259581,3054.5287430286407
InceptionV3,softmax,8,0.8248686514886164,0.8268860258515431,0.8142120193239597,0.9420282375599354,0.8162845964046861,0.9661407318350483,3054.5287430286407
InceptionV3,softmax,9,0.8353765323992994,0.845502434420786,0.829920613200336,0.9467765988898175,0.829082651115846,0.9701384314248114,3054.5287430286407
InceptionV3,softmax,10,0.8161120840630472,0.851448367808662,0.8175925811493943,0.939164724929267,0.817395104388047,0.9713869243986816,3054.5287430286407
InceptionV3,svm,1,0.9003496503496503,0.9013521126760564,0.8999085206169412,0.9671522072940653,0.8987286068666485,0.9839604519596968,963.4630732536316
InceptionV3,svm,2,0.9108391608391608,0.9089185775313862,0.9072395814892615,0.9705069140630315,0.9073572714206526,0.9846071817179137,963.4630732536316
InceptionV3,svm,3,0.9159369527145359,0.9117607720745736,0.9142642981833964,0.9729430323500282,0.9109350162795278,0.9885334879725046,963.4630732536316
InceptionV3,svm,4,0.9281961471103327,0.9246227469269163,0.92000777000777,0.9762716587829132,0.9216426210339723,0.9893524420900162,963.4630732536316
InceptionV3,svm,5,0.9054290718038529,0.9109902763340983,0.902596799143615,0.9686210777175184,0.9039146625567991,0.985348279444102,963.4630732536316
InceptionV3,svm,6,0.9019264448336253,0.8958863785786864,0.8932284367021982,0.9676340678863784,0.8937734501229694,0.9837280076335672,963.4630732536316
InceptionV3,svm,7,0.9019264448336253,0.9017007544401546,0.9040021509048641,0.9672077940128421,0.9020865850412281,0.9880443879834908,963.4630732536316
InceptionV3,svm,8,0.8966725043782837,0.8928247815612528,0.8914668416160954,0.9660548831468263,0.8913934760947126,0.9823323167211605,963.4630732536316
InceptionV3,svm,9,0.9071803852889667,0.9004960317460317,0.9016941282653271,0.9697114936626337,0.9007193554808419,0.9857598324636582,963.4630732536316
InceptionV3,svm,10,0.9176882661996497,0.9163158804393186,0.9118859849896731,0.9726150317009192,0.9134575008920855,0.9842164775473328,963.4630732536316
InceptionV3,rf,1,0.8479020979020979,0.8455266384564543,0.846465970560589,0.9497175228960655,0.8450644566293158,0.9638657592874224,751.6157870292664
InceptionV3,rf,2,0.8409090909090909,0.8366081655815809,0.8353909436328777,0.9472728557971266,0.8339145112882569,0.9652723557274226,751.6157870292664
InceptionV3,rf,3,0.8581436077057794,0.852202479338843,0.8509031198686372,0.9536882166524342,0.8485982834554592,0.9694981838812963,751.6157870292664
InceptionV3,rf,4,0.8966725043782837,0.8919875408964062,0.8859275632364804,0.9655253275222796,0.8880424447241854,0.974664228469349,751.6157870292664
InceptionV3,rf,5,0.8423817863397548,0.8422071069306089,0.8373123090741035,0.9477227608398371,0.8373257093395592,0.9669399296560359,751.6157870292664
InceptionV3,rf,6,0.861646234676007,0.8585350401810894,0.8522041986654638,0.9541238563972171,0.8524713727881414,0.9664423283060108,751.6157870292664
InceptionV3,rf,7,0.830122591943958,0.8333644233452473,0.8313943078949595,0.9429173352124667,0.8284649324386433,0.9611615596802472,751.6157870292664
